!;' <P>;XY;!;XY
Direktor;d i . r ' E k . t o:6;NN;direkt or;ADJ SFX
Doch;d ' O x;ADV;doch;ADV
Doday;d ' o: . d EI;NN;doday;NN
Dodo;d ' o: . d o;NN;dodo;NN
Dodolein;d ' o: . d o . l aI n;NN;dodolein;NN
Dodoooooo;d ' o: . d o:;NN;dodoooooo;NN
Dodooooooo;d ' o: . d o:;NN;dodooooooo;NN
Dodos;d ' o: . d o s;NN;dodos;NN
Doktor;d ' O k . t o:6;NN;doktor;NN
Domenik;d ' O . m @ . n I k;NN;domenik;NN
Dominick;d ' O . m i . n I k;NN;dominick;NN
Dominostein;d ' o: . m i . n o . S t aI n;NN;domino stein;NN NN
Dominosteine;d ' o: . m i . n o . S t aI . n @;NN;domino stein e;NN NN INFL
Dong;d ' O N;NN;dong;NN
Donnerstag;d ' O n . 6 s . t a: k;NN;donner s tag;NN FG NN
Donnerstagmorgen;d O n . 6 s . t a: k . m ' O6 . g @ n;NN;donner s tag morgen;NN FG NN NN
Doofes;d ' o: . v @ s;NN;doof es;ADJ INFL
Dooodddooo;d ' o: . d o:;NN;NNdooodddooo;NN
Dooodooo;d ' o: . d o:;NN;dooodooo;NN
Dort;d ' O6 t;ADV;dort;ADV
Dortmund;d ' O6 t . m U n t;NE;dort mund;ADV NN
Dose;d ' o: . z @;NN;dose;NN
Drachenschnur;d r ' a . x @ n . S n u:6;NN;drache n schnur;NN FG NN
Drama;d r ' a: . m a;NN;drama;NN
Draußen;d r ' aU . s @ n;ADV;draußen;ADV
Draußen-Verbot;d r ' aU . s @ n . f E6 . b o: t;NN;draußen - ver bot;ADV MFG PRFX NN
Dreck;d r ' E k;NN;dreck;NN
Dreckhaufen;d r ' E k . h aU . f @ n;NN;dreck haufen;NN NN
Dreckige;d r ' E k . I . g @;NN;dreck ig e;NN SFX INFL
Dreckspatz;d r ' E k . S p a t s;NN;dreck s patz;NN FG V
Drei;d r ' aI;CARD;drei;CARD
Drekinst;d r ' e: . k I n s t;NN;drekinst;NN
Drinnen;d r ' I n . @ n;ADV;drinnen;ADV
Druck;d r ' U k;NN;druck;NN
Drucker;d r ' U k . 6;NN;druck er;NN INFL
Dröhnte;d r ' 2: n . t @;NN;dröhnte;NN
Du;d ' u:;PPER;du;PPER
Dudika;d ' u: . d i . k a;NN;dudika;NN
Duft;d ' U f t;NN;duft;NN
Dumm;d ' U m;NN;dumm;NN
Dummie;d U m . ' i:;NN;dummie;NN
Durcheinander;d U6 C . ? aI . n ' a n . d 6;NN;durcheinander;NN
Dussel;d ' U s . @ l;NN;dussel;NN
Dutzend;d ' U t . s @ n t;NN;dutzend;NN
Düsentrieb;d ' y: . z @ n . t r i: p;NN;düs en trieb;V FG NN
E-Entschuldigung;? E . ? E n t . S ' U l . d I . g U N;NN;e - entschuldigung;NN MFG NN
END;? ' E n t;NN;end;NN
ENDE;? ' E n . d @;NN;ende;NN
Ebenfalls;? ' e: . b @ n . f a l s;ADV;eben fall s;ADV NN SFX
Echt;? ' E C t;NN;echt;NN
Ecke;? ' E k . @;NN;ecke;NN
Ecken;? ' E k . @ n;NN;ecken;NN
Edding;? ' E d . I N;NN;edding;NN
Ehe;? ' e: . @;KOUS;ehe;KOUS
Ehrlich;? ' e:6 . l I C;NN;ehrlich;NN
Ei;? ' aI;NN;ei;NN
Eierkuchen;? ' aI . 6 . k u: . x @ n;NN;eierkuchen;NN
Eiffelturm;? ' aI f . @ l . t U6 m;NN;eiffelturm;NN
Eigentlich;? ' aI . g @ n t . l I C;ADV;eigentlich;ADV
Ein;? ' aI n;ART;ein;ART
Ein-Stern;? ' aI n . S t E6 n;NN;ein - stern;PTKVZ MFG NN
Einbahnstraße;? ' aI n . b a: n . S t r a: . s @;NN;ein bahn straße;PTKVZ NN NN
Eine;? ' aI . n @;ART;ein e;ART INFL
Einem;? ' aI . n @ m;ART;ein em;ART INFL
Einen;? ' aI . n @ n;ART;ein en;ART INFL
Einer;? ' aI . n 6;PIS;einer;PI
Eines;? ' aI . n @ s;PIS;eines;PI
Einfach;? ' aI n . f a x;NN;ein fach;PTKVZ NN
Einige;? ' aI . n I . g @;PIAT;einig e;ADJ INFL
Einkaufstasche;? ' aI n . k aU f s . t a . S @;NN;ein kauf s tasche;PTKVZ V FG NN
Einkaufszentrum;? ' aI n . k aU f s . t s E n . t r U m;NN;ein kauf s zentrum;PTKVZ V FG NN
Einmal;? ' aI n . m a: l;ADV;ein mal;CARD ADV
Eins;? ' aI n s;NN;eins;NN
Einsatz;? ' aI n . z a t s;NN;ein satz;PTKVZ NN
Eintrag;? ' aI n . t r a: k;NN;ein trag;PTKVZ V
Eis;? ' aI s;NN;eis;NN
Eisbär;? ' aI s . b E:6;NN;eis bär;NN NN
Eisdiele;? ' aI s . d i: . l @;NN;eis diele;NN NN
Eisenbahn;? ' aI . z @ n . b a: n;NN;eis en bahn;NN FG NN
Eisfrau;? ' aI s . f r aU;NN;eis frau;NN NN
Eiskugel;? ' aI s . k u: . g @ l;NN;eis kugel;NN NN
Eiskugeln;? ' aI s . k u: . g @ l n;NN;eis kugel n;NN NN INFL
Eisladen;? ' aI s . l a: . d @ n;NN;eis lad en;NN V INFL
Eismann;? ' aI s . m a n;NN;eis mann;NN NN
Eisner;? ' aI s . n 6;NN;eis n er;NN SFX SFX
Eissorte;? ' aI s . z O6 . t @;NN;eis sort e;NN V INFL
Eissorten;? ' aI s . z O6 . t @ n;NN;eis sort en;NN V INFL
Eisstand;? ' aI s . S t a n t;NN;eis stand;NN NN
Eistropfen;? ' aI s . t r O p . f @ n;NN;eis tropf en;NN NN INFL
Eiströpfchen;? ' aI s . t r 9 p f . C @ n;NN;eis tröpf chen;NN NN SFX
Eisverkäufer;? ' aI s . f E6 . k OY . f 6;NN;eis ver käuf er;NN PRFX NN INFL
Eiswagen;? ' aI s . v a: . g @ n;NN;eis wag en;NN V INFL
Eiswarenstand;? ' aI s . v a: . r @ n . S t a n t;NN;eiswarenstand;NN
Elektrik;? e . l ' E k . t r I k;NN;elektrik;NN
Elon;? ' e: . l O n;NN;elon;NN
Eltern;? ' E l . t 6 n;NN;eltern;NN
Ema;? ' e: . m a;NN;ema;NN
End;? ' E n t;NE;end;NE
Ende;? ' E n . d @;NN;ende;NN
Endlich;? ' E n t . l I C;ADV;endlich;ADV
Enes;? ' e . n @ s;NN;enes;NN
Engel;? ' E N . @ l;NN;engel;NN
Englischtest;? ' E N . l I S . t E s t;NN;englisch test;ADJ NN
Ensen;? ' E n . z @ n;NN;ensen;NN
Entdeckerzone;? E n t . d ' E k . 6 . t s o: . n @;NN;ent deck er zone;PRFX V SFX NN
Entfernung;? E n t . f ' E6 . n U N;NN;ent fern ung;PRFX ADJ SFX
Entschuldige;? E n t . S ' U l . d I . g @;VVFIN;ent schuld ig e;PRFX NN SFX INFL
Entschuldigung;? E n t . S ' U l . d I . g U N;NN;ent schuld igung;PRFX NN SFX
Er;? ' E6;PPER;er;PPER
Erdbeer;? ' e:6 t . b e: 6;NN;erdbeer;NN
Erdbeere;? ' e:6 t . b e: . r @;NN;erd beere;NN NN
Erdbeereis;? ' e:6 t . b e: 6 . aI s;NN;erdbeereis;NN
Erdbeerkugel;? ' e:6 t . b e: 6 . k u: . g @ l;NN;erdbeerkugel;NN
Erdbeerlollipop;? ' e:6 t . b e: 6 . l O l . i: . p O p;NN;erdbeerlollipop;NN
Erdbeersorte;? ' e:6 t . b e:6 . z O6 . t @;NN;erdbeersorte;NN
Erde;? ' e:6 . d @;NN;erd e;NN INFL
Erfolg;? E6 . f ' O l k;NN;er folg;PRFX V
Erfreut;? E6 . f r ' OY t;NN;erfreut;NN
Ergebnis;? E6 . g ' e: p . n I s;NN;er geb nis;PRFX V SFX
Erinnerung;? E6 . ? ' I n . 6 . r U N;NN;er inner ung;PRFX ADJ SFX
Erledigung;? E6 . l ' e: . d I . g U N;NN;er ledig ung;PRFX ADJ SFX
Ernst;? ' E6 n s t;NE;ernst;NE
Erschreckung;? E 6 . S r ' E k . U N;NN;er schreck ung;PRFX NN SFX
Erschrocken;? E6 . S r ' O k . @ n;ADJD;er schrock en;PRFX V INFL
Erschöpft;? E6 . S ' 9 p f t;NN;erschöpft;NN
Erst;? ' e:6 s t;ADV;erst;ADV
Erstes;? ' e:6 s . t @ s;ADJA;erst es;ADJ INFL
Erstmal;? ' e:6 s t . m a: l;NN;erst mal;ADJ SFX
Es;? ' E s;PPER;es;PPER
Essen;? ' E s . @ n;NN;ess en;V INFL
Essstücke;? ' E s . S t Y k . @;NN;ess stück e;V NN INFL
Est;? ' E s t;NN;est;NN
Etage;? e . t ' a: . Z @;NN;etage;NN
Etwas;? ' E t . v a s;PIAT;etwas;PI
Euro;? ' OY . r o;NN;euro;NN
Exemplar;? E k . s E m . p l ' a: r;NN;exemplar;NN
Experiment;? E k s . p e . r i . m ' E n t;NN;experiment;NN
Explosion;? E k s . p l o . z j ' o: n;NN;explosion;NN
Fach;f ' a x;NN;fach;NN
Faden;f ' a: . d @ n;NN;faden;NN
Fag;f ' a: k;NN;fag;NN
Fahren;f ' a: . r @ n;NN;fahr en;V INFL
Fahrrad;f ' a: r . r a: t;NN;fahr rad;V NN
Fahrt;f ' a: r t;NN;fahrt;NN
Fahrzeug;f ' a: r . t s OY k;NN;fahr zeug;V NN
Fall;f ' a l;NN;fall;NN
Falls;f ' a l s;KOUS;falls;KOUS
Falschen;f ' a l . S @ n;NN;falsch en;ADJ INFL
Familie;f a m . ' i: l . j @;NN;familie;NN
Fang;f ' a N;VVIMP;fang;V
Fangen;f ' a N . @ n;NN;fang en;V INFL
Farbe;f ' a r . b @;NN;farbe;NN
Fassung;f ' a s . U N;NN;fass ung;NN SFX
Fast;f ' a s t;ADV;fast;ADV
Fax;f ' a k s;NN;fax;NN
Faxen;f ' a k . s @ n;NN;fax en;NN INFL
Faxnummer;f ' a k s . n U m . 6;NN;fax nummer;NN NN
Feder;f ' e: . d 6;NN;feder;NN
Fegen;f ' e: . g @ n;NN;feg en;V INFL
Feier;f ' aI . 6;NN;feier;NN
Feiertag;f ' aI . 6 . t a: k;NN;feier tag;NN NN
Felex;f ' e: . l E k s;NN;felex;NN
Felix;f ' e: . l I k s;NN;felix;NN
Fell;f ' E l;NN;fell;NN
Fenster;f ' E n s . t 6;NN;fenster;NN
Fensterbank;f ' E n s . t 6 . b a N k;NN;fenster bank;NN NN
Fensterbrett;f ' E n s . t 6 . b r E t;NN;fenster brett;NN NN
Fenstergriff;f ' E n s . t 6 . g r I f;NN;fenster griff;NN NN
Fenstern;f ' E n s . t 6 n;NN;fenster n;NN INFL
Fensterrahmen;f ' E n s . t 6 . r a: . m @ n;NN;fenster rahm en;NN NN INFL
Fensterrand;f ' E n s . t 6 . r a n t;NN;fenster rand;NN NN
Fensters;f ' E n s . t 6 s;NN;fenster s;NN INFL
Fensterscharniere;f ' E n s . t 6 . S a: r . n i: . r @;NN;fenster schar niere;NN V NN
Fensterscheibe;f ' E n s . t 6 . S aI . b @;NN;fenster scheibe;NN NN
Fensterscheiben;f ' E n s . t 6 . S aI . b @ n;NN;fenster scheibe n;NN NN INFL
Fensterscheibenreparierer;f ' E n s . t 6 . S aI . b @ n . r e . p a . r i: . r 6;NN;fenster scheibe n repar ier er;NN NN FG V SFX SFX
Fensterscherben;f ' E n s . t 6 . S E6 . b @ n;NN;fenster scherbe n;NN NN INFL
Fensterschwebebahn;f ' E n s . t 6 . S v e: . b @ . b a: n;NN;fenster schweb e bahn;NN V FG NN
Ferdinand;f ' E6 . d i . n a n t;NN;ferdinand;NN
Ferien;f ' e: . r i . @ n;NN;ferien;NN
Fernsehen;f ' E6 n . z e: . @ n;NN;fern seh en;ADV V INFL
Fiel;f ' i: l;NN;fiel;NN
Film-;f ' I l m;TRUNC;film -;NN FG
Filter;f ' I l . t 6;NN;filter;NN
Finder;f ' I n . d 6;NN;find er;V SFX
Findet;f ' I n . d @ t;VVFIN;find et;V INFL
Finger;f ' I N . 6;NN;fing er;V SFX
Fingernagel;f ' I N . 6 . n a: . g @ l;NN;fing er nagel;V SFX NN
Flau;f l ' aU;NN;flau;NN
Flecken;f l ' E k . @ n;NN;fleck en;NN INFL
Fleisch;f l ' aI S;NN;fleisch;NN
Fleischerei;f l aI . S @ . r ' aI;NN;fleisch er ei;NN SFX SFX
Fleischklößchen;f l ' aI S . k l 2: s . C @ n;NN;fleisch klöß chen;NN NN SFX
Flieg;f l ' i: k;NN;flieg;NN
Flohmarkt;f l ' o: . m a r k t;NN;floh markt;NN NN
Florian;f l ' o: . r i . a: n;NN;florian;NN
Fluchtversuch;f l ' U x t . f E6 . z u: x;NN;flucht ver such;NN PRFX V
Flur;f l ' u:6;NN;flur;NN
Flures;f l ' u: . r @ s;NN;flur es;NN INFL
Fluss;f l ' U s;NN;fluss;NN
Flussmauer;f l ' U s . m aU . 6;NN;fluss mauer;NN NN
Flyer;f l ' aI . 6;NN;flyer;NN
Folgrebe;f ' O l . g r e: . b @;NN;folg rebe;V NN
Forschungsprojekt;f ' O6 . S U N s . p r o . j E k t;NN;forsch ung s projekt;V SFX FG NN
Fortsetzung;f ' O6 t . z E t . s U N;NN;fort setz ung;PTKVZ V SFX
Foto;f ' o: . t o;NN;foto;NN
Fotos;f ' o: . t o s;NN;foto s;NN INFL
Fr.;f r ' aU;NN;fr.;NN
Frage;f r ' a: . g @;NN;frag e;NN INFL
Fragen;f r ' a: . g @ n;NN;frag en;NN INFL
Frank;f r ' a N k;NE;frank;NE
Frau;f r ' aU;NN;frau;NN
Frauchen;f r ' aU . C @ n;NN;frau chen;NN SFX
Frauke;f r ' aU . k @;NN;frauke;NN
Freitag;f r ' aI . t a: k;NN;frei tag;PTKVZ NN
Freitagmittag;f r ' aI . t a: k . m I t . a: k;NN;frei tag mit tag;PTKVZ NN ADP NN
Freitagmorgen;f r aI . t a: k . m ' O6 . g @ n;NN;frei tag morgen;PTKVZ NN NN
Freitagnachmittag;f r aI . t a: k . n ' a: x . m I t . a: k;NN;frei tag nach mit tag;PTKVZ NN ADP ADP NN
Fremder;f r ' E m . d 6;NN;fremd er;ADJ INFL
Fresschen;f r ' E s . C @ n;NN;fresschen;NN
Fressen;f r ' E s . @ n;NN;fress en;V INFL
Fressnapf;f r ' E s . n a p f;NN;fress napf;V NN
Fressnäpfchen;f r ' E s . n E p f . C @ n;NN;fressnäpfchen;NN
Freude;f r ' OY . d @;NN;freude;NN
Freudenanruf;f r ' OY . d @ n . ? a n . r u: f;NN;freude n an ruf;NN FG ADP NN
Freudenhüpfer;f r ' OY . d @ n . h Y p . f 6;NN;freude n hüpf er;NN FG NN INFL
Freudensprung;f r ' OY . d @ n . S p r U N;NN;freude n sprung;NN FG NN
Freudenträne;f r ' OY . d @ n . t r E: . n @;NN;freude n träne;NN FG NN
Freudentränen;f r ' OY . d @ n . t r E: . n @ n;NN;freude n träne n;NN FG NN INFL
Freudigkeit;f r ' OY . d I C . k aI t;NN;freudigkeit;NN
Freund;f r ' OY n t;NN;freund;NN
Freunde;f r ' OY n . d @;NN;freund e;NN INFL
Freunden;f r ' OY n . d @ n;NN;freund en;NN INFL
Freundin;f r ' OY n . d I n;NN;freund in;NN SFX
Freundinnen;f r ' OY n . d I n . @ n;NN;freund innen;NN SFX
Freunds;f r ' OY n t s;NN;freund s;NN INFL
Fricke;f r ' I k . @;NN;fricke;NN
Fridt;f r ' I t;NN;fridt;NN
Fried;f r ' i: t;NE;fried;NE
Friederik;f r ' i: . d @ . r I k;NN;friederik;NN
Frieg;f r ' i: k;NN;frieg;NN
Friek;f r ' i: k;NN;friek;NN
Friss;f r ' I s;NN;friss;NN
Fritz;f r ' I t s;NE;fritz;NE
Fritzchen;f r ' I t s . C @ n;NN;fritzchen;NN
Fritzi;f r ' I t . s i;NN;fritzi;NN
Frosch;f r ' O S;NN;frosch;NN
Froschi;f r ' O . S i:;NN;froschi;NN
Froschjagd;f r ' O S . j a: k t;NN;frosch jagd;NN NN
Froschkönig;f r ' O S . k 2: . n I C;NN;frosch könig;NN NN
Froschteich;f r ' O S . t aI C;NN;frosch teich;NN NN
Fräulein;f r ' OY . l aI n;NN;fräulein;NN
Fröhlich;f r ' 2: . l I C;ADJD;fröh lich;ADJ SFX
Fröhlichkeit;f r ' 2: . l I C . k aI t;NN;fröhlichkeit;NN
Frösche;f r ' 9 . S @;NN;frösch e;NN INFL
Fröschlie;f r ' 9 S . l i:;NN;fröschlie;NN
Früh;f r ' y:;ADJD;früh;ADJ
Frühling;f r ' y: . l I N;NN;früh ling;ADJ SFX
Frühlingstag;f r ' y: . l I N s . t a: k;NN;früh ling s tag;ADJ SFX FG NN
Frühstück;f r ' y: . S t Y k;NN;früh stück;ADJ NN
Fter;f t ' 6;NN;fter;NN
Fudo;f ' u: . d o;NN;fudo;NN
Fund;f ' U n t;NN;fund;NN
Fundarbeiter;f ' U n t . ? a r . b aI . t 6;NN;fund arbeit er;NN NN INFL
Fundbörse;f ' U n t . b 96 . z @;NN;fund börse;NN NN
Fundbüro;f ' U n t . b y . r o:;NN;fund büro;NN NN
Fundbürogeschäft;f ' U n t . b y . r o: . g @ . S E f t;NN;fund büro ge schäft;NN NN PRFX NN
Fundbüromann;f ' U n t . b y . r o: . m a n;NN;fund büro mann;NN NN NN
Fundbüromensch;f ' U n t . b y . r o: . m E n S;NN;fund büro mensch;NN NN NN
Fundbüros;f ' U n t . b y . r o: s;NN;fund büro s;NN NN INFL
Fundgrube;f ' U n t . g r u: . b @;NN;fund grube;NN NN
Fundgrubenladen;f ' U n t . g r u: . b @ n . l a: . d @ n;NN;fund grube n lad en;NN NN FG V INFL
Fundhaus;f ' U n t . h aU s;NN;fund haus;NN NN
Fundladen;f ' U n t . l a: . d @ n;NN;fund lad en;NN V INFL
Fundladengeschäft;f ' U n t . l a: . d @ n . g @ . S E f t;NN;fund lad en ge schäft;NN V FG PRFX NN
Fundmann;f ' U n t . m a n;NN;fund mann;NN NN
Fundsachenbüro;f ' U n t . z a . x @ n . b y . r o:;NN;fund sach en büro;NN NN FG NN
Fundstation;f ' U n t . S t a . t s j o: n;NN;fund station;NN NN
Fundstelle;f ' U n t . S t E l . @;NN;fund stell e;NN V INFL
Fundstück;f ' U n t . S t Y k;NN;fund stück;NN NN
Fundverkäufer;f ' U n t . f E6 . k OY . f 6;NN;fund ver käuf er;NN PRFX NN INFL
Futter;f ' U t . 6;NN;futter;NN
Futterhund;f ' U t . 6 . h U n t;NN;futter hund;NN NN
Futternapf;f ' U t . 6 . n a p f;NN;futter napf;NN NN
Futterschale;f ' U t . 6 . S a: . l @;NN;futter schal e;NN ADJ INFL
Futterschüssel;f ' U t . 6 . S Y s . @ l;NN;futter schüssel;NN NN
Futtertopf;f ' U t . 6 . t O p f;NN;futter topf;NN NN
Fuß;f ' u: s;NN;fuß;NN
Fußball;f ' u: s . b a l;NN;fuß ball;NN NN
Fußgängerstraße;f ' u: s . g E N . 6 . S t r a: . s @;NN;fuß gäng er straße;NN NN PRFX NN
Fußgängerzone;f ' u: s . g E N . 6 . t s o: . n @;NN;fuß gäng er zone;NN NN PRFX NN
Fußmann;f ' u: s . m a n;NN;fuß mann;NN NN
Füller;f ' Y l . 6;NN;füll er;V SFX
Für;f ' y:6;APPR;für;ADP
Fütter;f ' Y t . 6;NN;fütter;NN
Füttern;f ' Y t . 6 n;NN;fütter n;V INFL
Füße;f ' y: . s @;NN;füß e;NN INFL
Füßen;f ' y: s . @ n;NN;füß en;NN INFL
Ganz;g ' a n t s;ADV;ganz;ADV
Ganze;g ' a n . t s @;NN;ganz e;ADJ INFL
Garten;g ' a r . t @ n;NN;garten;NN
Gasse;g ' a s . @;NN;gasse;NN
Gassi;g ' a s . i;NN;gassi;NN
Gassi-Gehen;g ' a s . i . g e: . @ n;NN;gassi - geh en;NN MFG V INFL
Gassigehen;g ' a s . i . g e: . @ n;NN;gassi geh en;NN V INFL
Gebe;g ' e: . b @;NN;geb e;V INFL
Gebell;g @ . b ' E l;NN;ge bell;PRFX V
Gebelle;g @ . b ' E l . @;NN;ge bell e;PRFX V INFL
Geben;g ' e: . b @ n;VVFIN;geb en;V INFL
Gebrüll;g @ . b r ' Y l;NN;ge brüll;PRFX V
Geburtstag;g @ . b ' u:6 t s . t a: k;NN;geburt s tag;NN FG NN
Gebüsch;g @ . b ' Y S;NN;ge büsch;PRFX NN
Gedanken;g @ . d ' a N . k @ n;NN;ge dank en;PRFX NN INFL
Geduld;g @ . d ' U l t;NN;ge duld;PRFX V
Gefahr;g @ . f ' a: r;NN;ge fahr;PRFX V
Gefängnis;g @ . f ' E N . n I s;NN;ge fäng nis;PRFX NN SFX
Gefühl;g @ . f ' y: l;NN;ge fühl;PRFX V
Gegend;g ' e: . g @ n t;NN;gegend;NN
Gegenstand;g ' e: . g @ n . S t a n t;NN;gegen stand;ADP NN
Gegenstände;g ' e: . g @ n . S t E n . d @;NN;gegen ständ e;ADP NN INFL
Gegenüber;g e: . g @ n . ? ' y: . b 6;APPR;gegenüber;ADP
Geh;g ' e:;VVIMP;geh;V
Gehaus;g @ . h ' aU s;NN;ge haus;PRFX NN
Geheim;g @ . h ' aI m;NN;ge heim;PRFX NN
Geheimnis;g @ . h ' aI m . n I s;NN;ge heim nis;PRFX NN SFX
Gehen;g ' e: . @ n;VVFIN;geh en;V INFL
Gehorchen;g @ . h ' o:6 . C @ n;NN;ge horch en;PRFX V INFL
Gehstock;g ' e: . S t O k;NN;geh stock;V NN
Geht;g ' e: t;VVFIN;geh t;V INFL
Gehte;g ' e: . t @;NN;gehte;NN
Gehtnichtmehr;g ' e: t . n I C t . m e: 6;NN;gehtnichtmehr;NN
Gehweg;g ' e: . v e: k;NN;geh weg;V NN
Gehwegen;g ' e: . v e: . g @ n;NN;geh weg en;V NN INFL
Gehört;g @ . h ' 2:6 t;VVFIN;ge hör t;PRFX V INFL
Geist;g ' aI s t;NN;geist;NN
Gekauft;g @ . k ' aU f t;VVPP;ge kauf t;PRFX V SFX
Geklopfe;g @ . k l ' O p . f @;NN;ge klopf e;PRFX V INFL
Gelb;g ' E l p;NN;gelb;NN
Geld;g ' E l t;NN;geld;NN
Gelegenheit;g @ . l ' e: . g @ n . h aI t;NN;ge leg en heit;PRFX V SFX SFX
Gelärm;g @ . l ' E6 m;NN;ge lärm;PRFX NN
Gemeinsam;g @ . m ' aI n . z a: m;ADJD;ge mein sam;PRFX V SFX
Genau;g @ . n ' aU;ADV;genau;ADV
Geografie;g e . o . g r a . f ' i:;NN;geografie;NN
Gequatsche;g @ . k v ' a t . S @;NN;ge quatsch e;PRFX NN INFL
Gerade;g @ . r ' a: . d @;ADV;ge rad e;PRFX NN INFL
Gern;g ' E6 n;NN;gern;NN
Geruch;g @ . r ' U x;NN;geruch;NN
Geräusch;g @ . r ' OY S;NN;geräusch;NN
Geräusche;g @ . r ' OY . S @;NN;geräusch e;NN INFL
Geräuschen;g @ . r ' OY . S @ n;NN;geräusch en;NN INFL
Geschafft;g @ . S ' a f t;NN;geschafft;NN
Geschenk;g @ . S ' E N k;NN;ge schenk;PRFX V
Geschichte;g @ . S ' I C . t @;NN;ge schicht e;PRFX NN INFL
Geschichten;g @ . S ' I C . t @ n;NN;ge schicht en;PRFX NN INFL
Geschwindigkeit;g @ . S v ' I n . d I C . k aI t;NN;ge schwind igkeit;PRFX V SFX
Geschäft;g @ . S ' E f t;NN;ge schäft;PRFX NN
Geschäfte;g @ . S ' E f . t @;NN;ge schäft e;PRFX NN INFL
Geschäfts;g @ . S ' E f t s;NN;ge schäft s;PRFX NN INFL
Geschäftsmann;g @ . S ' E f t s . m a n;NN;ge schäft s mann;PRFX NN FG NN
Gesicht;g @ . z ' I C t;NN;ge sicht;PRFX NN
Gesichter;g @ . z ' I C . t 6;NN;ge sicht er;PRFX NN INFL
Gesichtsausdruck;g @ . z ' I C t s . ? aU s . d r U k;NN;ge sicht s aus druck;PRFX NN FG PRFX NN
Gespenst;g @ . S p ' E n s t;NN;gespenst;NN
Gestern;g ' E s . t 6 n;NN;ge stern;PRFX NN
Gesucht-Bilder;g @ . z ' u: x t . b I l . d 6;NN;ge such t - bild er;PRFX V INFL MFG NN INFL
Gewicht;g @ . v ' I C t;NN;ge wicht;PRFX NN
Gggeist;g @ . g @ . g ' aI s t;NN;gggeist;NN
Gib;g ' i: p;VVIMP;gib;V
Gibt;g ' i: p t;VVFIN;gib t;V INFL
Gingka;g ' I N . k a;NN;gingka;NN
Glas;g l ' a: s;NN;glas;NN
Glasscheibe;g l ' a: s . S aI . b @;NN;glas scheibe;NN NN
Glasscheiben;g l ' a: s . S aI . b @ n;NN;glas scheibe n;NN NN INFL
Glasscherben;g l ' a: s . S E6 . b @ n;NN;glas scherbe n;NN NN INFL
Gleich;g l ' aI C;NN;gleich;NN
Gleiche;g l ' aI . C @;NN;gleich e;ADJ INFL
Gleichgewicht;g l ' aI C . g @ . v I C t;NN;gleich ge wicht;PTKVZ PRFX NN
Gling;g l ' I N;NN;gling;NN
Glong;g l ' O N;NN;glong;NN
Glubschauge;g l U p S . ? ' aU . g @;NN;glubschauge;NN
Gläser;g l ' E: . z 6;NN;gläs er;NN INFL
Glück;g l ' Y k;NN;glück;NN
Glücklich;g l ' Y k . l I C;ADJD;glück lich;NN SFX
Glückliches;g l ' Y k . l I . C @ s;NN;glück lich es;NN SFX INFL
Glücklichkeit;g l ' Y k . l I C . k aI t;NN;glücklichkeit;NN
Golden;g ' O l . d @ n;NN;gold en;NN INFL
Gondel;g ' O n . d @ l;NN;gondel;NN
Gondelbahn;g ' O n . d @ l . b a: n;NN;gondel bahn;NN NN
Gondelband;g ' O n . d @ l . b a n t;NN;gondel band;NN NN
Gondelfahrt;g ' O n . d @ l . f a: r t;CARD;gondelfahrt;CARD
Gondeln;g ' O n . d @ l n;NN;gondel n;NN INFL
Gongel;g ' O N . @ l;NN;gongel;NN
Gott;g ' O t;NN;gott;NN
Grade;g r ' a: . d @;NN;grad e;NN INFL
Gras;g r ' a: s;NN;gras;NN
Griesgram;g r ' i: s . g r a: m;NN;griesgram;NN
Griff;g r ' I f;NN;griff;NN
Große;g r ' o: . s @;ADJA;groß e;ADJ INFL
Großes;g r ' o: . s @ s;NN;groß es;ADJ INFL
Großmutter;g r ' o: s . m U t . 6;NN;groß mutter;ADJ NN
Gruseliges;g r ' u: . z @ . l I . g @ s;NN;grusel ig es;V SFX INFL
Gruß;g r ' u: s;NN;gruß;NN
Größe;g r ' 2: . s @;NN;größ e;ADJ INFL
Grünemeier;g r ' y: . n @ . m aI . 6;NN;grün e meier;NN FG NN
Grünes;g r ' y: . n @ s;NN;grün es;NN INFL
Grünewald;g r ' y: . n @ . v a l t;NN;grün e wald;NN FG NN
Guck;k ' U k;NN;guck;NN
Gut;g ' u: t;ADV;gut;ADV
Gute;g ' u: . t @;ADJA;gut e;NN INFL
Guten;g ' u: . t @ n;NN;gut en;NN INFL
Görkem;g ' 96 . k E m;NN;görkem;NN
Görken;g ' 96 . k E n ;NN;görken;NN
Güte;g ' y: . t @;NN;güte;NN
Ha-ha-ha;h ' a . h a . h a;NN;ha - ha - ha;NN MFG NN MFG NN
Haaaaaaa;h ' a:;NN;haaaaaaa;NN
Haaalt;h ' a: l t;NN;haaalt;NN
Haare;h ' a: . r @;NN;haar e;NN INFL
Haaren;h ' a: . r @ n;NN;haar en;NN INFL
Haarkamm;h ' a: r . k a m;NN;haarkamm;NN
Hab;h ' a: p;NN;hab;NN
Haben;h ' a: . b @ n;VAFIN;hab en;V INFL
Habt;h ' a: p t;VAFIN;hab t;V INFL
Hafenstr;h ' a: . f @ n . S t r;NN;hafenstr;NN
Hagane;h a: . g ' a: . n @;NN;hagane;NN
Hagel;h ' a: . g @ l;NN;hagel;NN
